run_alias,run_role,artifact_path,logged_to_mlflow,source_file,source_file_exists,source_size_bytes,source_sha256,generated_at
source_early_stopped_catboost,source_candidate,upstream/optuna_best_trial_trace.csv,True,phases/16-tabular-ml/09-optuna/outputs/optuna_best_trial_trace.csv,True,516,28be335df8e06fbc9636a684653c2a1772d5d59f4a3aabf7608f27ad95176e17,2026-07-06T12:15:00+03:00
source_early_stopped_catboost,source_candidate,model_metadata/source_early_stopped_catboost_model_metadata.json,True,source_early_stopped_catboost_model_metadata.json,True,1023,2b4948518a19806dc9cde0ab39d2bd513c56171bdcf9b34f2cbe77ff376d62a4,2026-07-06T12:15:00+03:00
best_optuna_trial,tuned_candidate,upstream/optuna_tuning_serialized_spec.json,True,phases/16-tabular-ml/09-optuna/outputs/optuna_tuning_serialized_spec.json,True,3378,d0abe03556372e08f21ce21a7fe061ce83c67d3d5b5ce2be33db570ba0f2d1b4,2026-07-06T12:15:00+03:00
best_optuna_trial,tuned_candidate,upstream/optuna_trial_ledger.csv,True,phases/16-tabular-ml/09-optuna/outputs/optuna_trial_ledger.csv,True,1401,7b114f5b58ca2e31c31cb88c4f1dffffc141965ed20e41c15153d0537ea3ae38,2026-07-06T12:15:00+03:00
best_optuna_trial,tuned_candidate,upstream/optuna_tuned_predictions.csv,True,phases/16-tabular-ml/09-optuna/outputs/optuna_tuned_predictions.csv,True,1429,b8443308eb0f5121069f567f98dca92e48f985fbd9ab05c7b6bbaa9d2ccf3a25,2026-07-06T12:15:00+03:00
best_optuna_trial,tuned_candidate,model_metadata/best_optuna_trial_model_metadata.json,True,best_optuna_trial_model_metadata.json,True,1123,2bed0645da30e2dda9bb59d4881caef96582f7917678688c2eb33cbba1609ef7,2026-07-06T12:15:00+03:00
phase15_baseline_cost_gate,baseline_gate,upstream/optuna_best_trial_trace.csv,True,phases/16-tabular-ml/09-optuna/outputs/optuna_best_trial_trace.csv,True,516,28be335df8e06fbc9636a684653c2a1772d5d59f4a3aabf7608f27ad95176e17,2026-07-06T12:15:00+03:00
phase15_baseline_cost_gate,baseline_gate,model_metadata/phase15_baseline_cost_gate_model_metadata.json,True,phase15_baseline_cost_gate_model_metadata.json,True,936,baa8e5737a4c324805bd1710792eb7cb3e9db7bec94b3f759cea480bd6ad9b47,2026-07-06T12:15:00+03:00
