study_name,trial_number,state,is_best_trial,objective_metric,objective_value,direction,depth,learning_rate,fit_split,objective_split,final_holdout_used_for_objective,validation_top_k_total_error_cost,validation_top_k_selected_ids,validation_top_k_false_negative_ids,validation_fixed_threshold_0_5_total_error_cost,tree_count,best_iteration,generated_at
trial_churn_catboost_fixed_budget_v0,0,COMPLETE,False,validation_logloss,0.698842,minimize,1,0.05,train,validation,False,7.0,"S007,S005",S006,6.0,1,0,2026-07-06T11:30:00+03:00
trial_churn_catboost_fixed_budget_v0,1,COMPLETE,False,validation_logloss,0.71759,minimize,1,0.2,train,validation,False,7.0,"S007,S005",S006,6.0,1,0,2026-07-06T11:30:00+03:00
trial_churn_catboost_fixed_budget_v0,2,COMPLETE,False,validation_logloss,0.70728,minimize,2,0.2,train,validation,False,7.0,"S007,S005",S006,6.0,1,0,2026-07-06T11:30:00+03:00
trial_churn_catboost_fixed_budget_v0,3,COMPLETE,False,validation_logloss,0.746454,minimize,1,0.4,train,validation,False,7.0,"S007,S005",S006,6.0,1,0,2026-07-06T11:30:00+03:00
trial_churn_catboost_fixed_budget_v0,4,COMPLETE,True,validation_logloss,0.696531,minimize,2,0.05,train,validation,False,7.0,"S007,S005",S006,6.0,1,0,2026-07-06T11:30:00+03:00
trial_churn_catboost_fixed_budget_v0,5,COMPLETE,False,validation_logloss,0.72301,minimize,2,0.4,train,validation,False,7.0,"S007,S005",S006,6.0,1,0,2026-07-06T11:30:00+03:00
